epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		5.9325		nan		1.7167		nan		5.9325		4.64
1		0.1685		0.2961		2.4670		2.5707		0.1685		0.2961		4.64
2		0.1065		0.3071		2.4473		2.6100		0.1065		0.3071		4.64
3		0.0786		0.2959		2.4449		2.5869		0.0786		0.2959		4.64
4		0.0682		0.3089		2.4476		2.5830		0.0682		0.3089		4.64
5		0.0579		0.3004		2.4495		2.5969		0.0579		0.3004		4.64
6		0.0355		0.3060		2.4452		2.6102		0.0355		0.3060		4.64
7		0.0298		0.3022		2.4530		2.5944		0.0298		0.3022		4.64
8		0.0254		0.3010		2.4542		2.6089		0.0254		0.3010		4.64
9		0.0232		0.3012		2.4571		2.6275		0.0232		0.3012		4.64
10		0.0156		0.2977		2.4584		2.6167		0.0156		0.2977		4.64
11		0.0132		0.3002		2.4598		2.6179		0.0132		0.3002		4.64
12		0.0115		0.3000		2.4622		2.6110		0.0115		0.3000		4.64
13		0.0101		0.3009		2.4645		2.6173		0.0101		0.3009		4.64
14		0.0073		0.3009		2.4649		2.6137		0.0073		0.3009		4.64
15		0.0065		0.3011		2.4665		2.6114		0.0065		0.3011		4.64
