epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		8.2194		nan		0.9896		nan		8.2194		4.10
1		0.1504		0.2629		2.4370		2.4603		0.1504		0.2629		4.10
2		0.0941		0.2428		2.4341		2.5023		0.0941		0.2428		4.10
3		0.0733		0.2532		2.4376		2.5038		0.0733		0.2532		4.10
4		0.0610		0.2585		2.4451		2.5133		0.0610		0.2585		4.10
5		0.0563		0.2649		2.4484		2.5157		0.0563		0.2649		4.10
6		0.0487		0.2583		2.4494		2.5392		0.0487		0.2583		4.10
7		0.0304		0.2527		2.4483		2.4993		0.0304		0.2527		4.10
8		0.0247		0.2529		2.4522		2.5131		0.0247		0.2529		4.10
9		0.0232		0.2512		2.4562		2.5162		0.0232		0.2512		4.10
10		0.0212		0.2526		2.4586		2.5218		0.0212		0.2526		4.10
11		0.0139		0.2530		2.4585		2.5261		0.0139		0.2530		4.10
12		0.0118		0.2520		2.4612		2.5303		0.0118		0.2520		4.10
13		0.0105		0.2506		2.4633		2.5322		0.0105		0.2506		4.10
14		0.0101		0.2502		2.4647		2.5391		0.0101		0.2502		4.10
15		0.0075		0.2519		2.4652		2.5282		0.0075		0.2519		4.10
