epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		8.3363		nan		1.0576		nan		8.3363		0.41
1		1.0810		0.8280		2.3871		2.4049		1.0810		0.8280		0.41
2		0.4608		0.7435		2.4279		2.3381		0.4608		0.7435		0.41
3		0.3170		0.7420		2.3462		2.3187		0.3170		0.7420		0.41
4		0.2272		0.7237		2.3298		2.2504		0.2272		0.7237		0.41
5		0.1595		0.7361		2.3724		2.2875		0.1595		0.7361		0.41
6		0.1195		0.7416		2.3332		2.3032		0.1195		0.7416		0.41
7		0.1078		0.7448		2.3405		2.3022		0.1078		0.7448		0.41
8		0.0899		0.7300		2.3511		2.3085		0.0899		0.7300		0.41
9		0.0642		0.7244		2.3748		2.3331		0.0642		0.7244		0.41
10		0.0486		0.7266		2.3606		2.3639		0.0486		0.7266		0.41
11		0.0488		0.7219		2.3697		2.3112		0.0488		0.7219		0.41
12		0.0370		0.7137		2.3989		2.3288		0.0370		0.7137		0.41
13		0.0323		0.7168		2.3674		2.3315		0.0323		0.7168		0.41
14		0.0305		0.7137		2.3789		2.3339		0.0305		0.7137		0.41
15		0.0289		0.7215		2.3870		2.3497		0.0289		0.7215		0.41
