epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		7.8548		nan		1.0194		nan		7.8548		0.32
1		1.2176		0.6583		2.4183		2.5554		1.2176		0.6583		0.32
2		0.5062		0.6136		2.4823		2.5182		0.5062		0.6136		0.32
3		0.3439		0.6171		2.3557		2.4661		0.3439		0.6171		0.32
4		0.2542		0.6348		2.3485		2.3965		0.2542		0.6348		0.32
5		0.1725		0.6347		2.3443		2.4359		0.1725		0.6347		0.32
6		0.1357		0.6149		2.3522		2.4403		0.1357		0.6149		0.32
7		0.1044		0.6485		2.3531		2.4326		0.1044		0.6485		0.32
8		0.0780		0.6357		2.3670		2.4338		0.0780		0.6357		0.32
9		0.0659		0.6380		2.3548		2.4295		0.0659		0.6380		0.32
10		0.0532		0.6346		2.3849		2.4288		0.0532		0.6346		0.32
11		0.0429		0.6411		2.3628		2.4246		0.0429		0.6411		0.32
12		0.0443		0.6361		2.3650		2.4258		0.0443		0.6361		0.32
13		0.0363		0.6375		2.3676		2.4304		0.0363		0.6375		0.32
14		0.0346		0.6357		2.3612		2.4217		0.0346		0.6357		0.32
15		0.0315		0.6392		2.3694		2.4260		0.0315		0.6392		0.32
