epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		8.2917		nan		1.1825		nan		8.2917		0.27
1		1.0550		0.7222		2.1594		2.2330		1.0550		0.7222		0.27
2		0.4197		0.6625		2.4513		2.3597		0.4197		0.6625		0.27
3		0.2940		0.6446		2.3681		2.2848		0.2940		0.6446		0.27
4		0.2026		0.6465		2.2884		2.2374		0.2026		0.6465		0.27
5		0.1330		0.6489		2.2839		2.2391		0.1330		0.6489		0.27
6		0.0903		0.6478		2.2716		2.2248		0.0903		0.6478		0.27
7		0.0726		0.6392		2.2824		2.2494		0.0726		0.6392		0.27
8		0.0561		0.6421		2.2747		2.2279		0.0561		0.6421		0.27
9		0.0451		0.6430		2.2804		2.2164		0.0451		0.6430		0.27
10		0.0410		0.6333		2.2782		2.2208		0.0410		0.6333		0.27
11		0.0484		0.6317		2.2663		2.2343		0.0484		0.6317		0.27
12		0.0440		0.6421		2.2909		2.2201		0.0440		0.6421		0.27
13		0.0441		0.6333		2.3026		2.2245		0.0441		0.6333		0.27
14		0.0359		0.6273		2.2897		2.2403		0.0359		0.6273		0.27
15		0.0295		0.6226		2.3033		2.2250		0.0295		0.6226		0.27
