epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		8.2261		nan		1.5152		nan		8.2261		0.29
1		1.5193		0.9368		2.0869		2.1638		1.5193		0.9368		0.29
2		0.5108		0.7643		2.3692		2.3252		0.5108		0.7643		0.29
3		0.3712		0.6212		2.3419		2.2027		0.3712		0.6212		0.29
4		0.2780		0.5652		2.2927		2.1696		0.2780		0.5652		0.29
5		0.2179		0.4701		2.2838		2.1134		0.2179		0.4701		0.29
6		0.1535		0.5555		2.3155		2.1645		0.1535		0.5555		0.29
7		0.1228		0.4942		2.3234		2.1306		0.1228		0.4942		0.29
8		0.1216		0.4354		2.3359		2.1195		0.1216		0.4354		0.29
9		0.0901		0.4460		2.3354		2.1138		0.0901		0.4460		0.29
10		0.0725		0.5339		2.3356		2.1414		0.0725		0.5339		0.29
11		0.0640		0.4572		2.3409		2.1083		0.0640		0.4572		0.29
12		0.0584		0.4608		2.3469		2.1281		0.0584		0.4608		0.29
13		0.0412		0.4587		2.3389		2.1005		0.0412		0.4587		0.29
14		0.0324		0.4543		2.3430		2.1109		0.0324		0.4543		0.29
15		0.0286		0.4645		2.3422		2.1061		0.0286		0.4645		0.29
