epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		3.2349		nan		2.1498		nan		3.2349		4.00
1		0.1807		0.3223		2.5118		2.6659		0.1807		0.3223		4.00
2		0.1013		0.3158		2.4603		2.6492		0.1013		0.3158		4.00
3		0.0826		0.3212		2.4561		2.6705		0.0826		0.3212		4.00
4		0.0641		0.3195		2.4534		2.6837		0.0641		0.3195		4.00
5		0.0551		0.3266		2.4555		2.6891		0.0551		0.3266		4.00
6		0.0497		0.3163		2.4557		2.6655		0.0497		0.3163		4.00
7		0.0289		0.3161		2.4541		2.6816		0.0289		0.3161		4.00
8		0.0226		0.3160		2.4564		2.6964		0.0226		0.3160		4.00
9		0.0205		0.3209		2.4605		2.6856		0.0205		0.3209		4.00
10		0.0184		0.3246		2.4632		2.6918		0.0184		0.3246		4.00
11		0.0117		0.3219		2.4627		2.7035		0.0117		0.3219		4.00
12		0.0093		0.3230		2.4631		2.6995		0.0093		0.3230		4.00
13		0.0083		0.3214		2.4654		2.6957		0.0083		0.3214		4.00
14		0.0077		0.3251		2.4676		2.6965		0.0077		0.3251		4.00
15		0.0053		0.3240		2.4677		2.6964		0.0053		0.3240		4.00
