epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		4.1817		nan		1.6532		nan		4.1817		4.10
1		0.1609		0.2921		2.4749		2.5732		0.1609		0.2921		4.10
2		0.0960		0.2906		2.4498		2.5669		0.0960		0.2906		4.10
3		0.0733		0.2846		2.4506		2.5756		0.0733		0.2846		4.10
4		0.0590		0.2927		2.4507		2.5903		0.0590		0.2927		4.10
5		0.0516		0.2920		2.4516		2.5819		0.0516		0.2920		4.10
6		0.0434		0.2865		2.4527		2.6016		0.0434		0.2865		4.10
7		0.0387		0.2950		2.4580		2.6255		0.0387		0.2950		4.10
8		0.0246		0.2914		2.4548		2.6155		0.0246		0.2914		4.10
9		0.0181		0.2881		2.4594		2.6165		0.0181		0.2881		4.10
10		0.0159		0.2882		2.4605		2.6073		0.0159		0.2882		4.10
11		0.0149		0.2882		2.4650		2.6133		0.0149		0.2882		4.10
12		0.0102		0.2886		2.4646		2.6112		0.0102		0.2886		4.10
13		0.0077		0.2884		2.4657		2.6132		0.0077		0.2884		4.10
14		0.0073		0.2906		2.4687		2.6169		0.0073		0.2906		4.10
15		0.0064		0.2911		2.4686		2.6089		0.0064		0.2911		4.10
