epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		4.3953		nan		1.6807		nan		4.3953		0.39
1		1.3972		0.8716		2.6085		2.6247		1.3972		0.8716		0.39
2		0.5512		0.7898		2.5437		2.5173		0.5512		0.7898		0.39
3		0.3943		0.7672		2.4505		2.4946		0.3943		0.7672		0.39
4		0.2813		0.7806		2.4441		2.4897		0.2813		0.7806		0.39
5		0.2031		0.7638		2.4303		2.4688		0.2031		0.7638		0.39
6		0.1580		0.7640		2.4436		2.4922		0.1580		0.7640		0.39
7		0.1217		0.7836		2.4444		2.4729		0.1217		0.7836		0.39
8		0.1144		0.7678		2.4254		2.4912		0.1144		0.7678		0.39
9		0.0955		0.7722		2.4335		2.4716		0.0955		0.7722		0.39
10		0.0746		0.7553		2.4366		2.4703		0.0746		0.7553		0.39
11		0.0505		0.7550		2.4289		2.4693		0.0505		0.7550		0.39
12		0.0456		0.7671		2.4292		2.4764		0.0456		0.7671		0.39
13		0.0414		0.7663		2.4262		2.4842		0.0414		0.7663		0.39
14		0.0384		0.7673		2.4304		2.4802		0.0384		0.7673		0.39
15		0.0308		0.7644		2.4403		2.4770		0.0308		0.7644		0.39
