epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		4.0219		nan		1.8036		nan		4.0219		0.35
1		2.0830		1.1514		2.8288		2.4012		2.0830		1.1514		0.35
2		0.6310		1.0676		2.6419		2.6212		0.6310		1.0676		0.35
3		0.4667		1.0109		2.5528		2.5220		0.4667		1.0109		0.35
4		0.4075		0.9939		2.4798		2.4729		0.4075		0.9939		0.35
5		0.2636		0.9405		2.4344		2.4233		0.2636		0.9405		0.35
6		0.1912		0.9483		2.4765		2.4349		0.1912		0.9483		0.35
7		0.1528		0.9506		2.3842		2.4530		0.1528		0.9506		0.35
8		0.1294		0.9470		2.4025		2.4231		0.1294		0.9470		0.35
9		0.1076		0.9220		2.4096		2.4351		0.1076		0.9220		0.35
10		0.0966		0.9592		2.4052		2.4341		0.0966		0.9592		0.35
11		0.0973		0.9342		2.4196		2.4629		0.0973		0.9342		0.35
12		0.0844		0.9545		2.4157		2.4749		0.0844		0.9545		0.35
13		0.1006		0.9142		2.4536		2.4866		0.1006		0.9142		0.35
14		0.0821		0.9191		2.4389		2.4587		0.0821		0.9191		0.35
15		0.0843		0.9488		2.4492		2.4999		0.0843		0.9488		0.35
