epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		3.8094		nan		1.8430		nan		3.8094		0.25
1		2.2283		1.1198		2.9125		2.3739		2.2283		1.1198		0.25
2		0.7041		0.9021		2.4756		2.4613		0.7041		0.9021		0.25
3		0.4871		0.9146		2.3983		2.4499		0.4871		0.9146		0.25
4		0.3683		0.8723		2.3580		2.4201		0.3683		0.8723		0.25
5		0.3010		0.8513		2.3637		2.4046		0.3010		0.8513		0.25
6		0.2336		0.8530		2.3559		2.4096		0.2336		0.8530		0.25
7		0.1940		0.8585		2.3717		2.4171		0.1940		0.8585		0.25
8		0.1496		0.8521		2.3778		2.3982		0.1496		0.8521		0.25
9		0.1327		0.8559		2.3710		2.4304		0.1327		0.8559		0.25
10		0.0955		0.8601		2.3776		2.4256		0.0955		0.8601		0.25
11		0.0765		0.8625		2.3548		2.4156		0.0765		0.8625		0.25
12		0.0758		0.8667		2.3573		2.4103		0.0758		0.8667		0.25
13		0.0679		0.8732		2.3675		2.4128		0.0679		0.8732		0.25
14		0.0566		0.8648		2.3645		2.3988		0.0566		0.8648		0.25
15		0.0509		0.8736		2.3681		2.4020		0.0509		0.8736		0.25
