epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		4.1394		nan		1.9954		nan		4.1394		0.30
1		1.8132		0.6308		2.5843		2.4685		1.8132		0.6308		0.30
2		0.6460		0.5709		2.6267		2.5742		0.6460		0.5709		0.30
3		0.4753		0.5872		2.4814		2.5223		0.4753		0.5872		0.30
4		0.3634		0.6050		2.4250		2.4686		0.3634		0.6050		0.30
5		0.2687		0.6201		2.4117		2.4358		0.2687		0.6201		0.30
6		0.2138		0.6167		2.3728		2.4340		0.2138		0.6167		0.30
7		0.1495		0.6310		2.3884		2.4241		0.1495		0.6310		0.30
8		0.1150		0.6202		2.3709		2.4119		0.1150		0.6202		0.30
9		0.0973		0.6214		2.3635		2.4086		0.0973		0.6214		0.30
10		0.0829		0.6365		2.3718		2.4074		0.0829		0.6365		0.30
11		0.0675		0.6297		2.3633		2.4039		0.0675		0.6297		0.30
12		0.0591		0.6373		2.3560		2.4017		0.0591		0.6373		0.30
13		0.0557		0.6360		2.3678		2.4026		0.0557		0.6360		0.30
14		0.0547		0.6384		2.3653		2.4097		0.0547		0.6384		0.30
15		0.0487		0.6413		2.3470		2.4077		0.0487		0.6413		0.30
