epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		5.3192		nan		1.8618		nan		5.3192		4.05
1		0.1691		0.3333		2.4707		2.5575		0.1691		0.3333		4.05
2		0.1006		0.3156		2.4453		2.5293		0.1006		0.3156		4.05
3		0.0816		0.2958		2.4476		2.6217		0.0816		0.2958		4.05
4		0.0713		0.2976		2.4493		2.5882		0.0713		0.2976		4.05
5		0.0589		0.3074		2.4502		2.6057		0.0589		0.3074		4.05
6		0.0548		0.3067		2.4511		2.6175		0.0548		0.3067		4.05
7		0.0448		0.3052		2.4528		2.6241		0.0448		0.3052		4.05
8		0.0279		0.2988		2.4515		2.6137		0.0279		0.2988		4.05
9		0.0224		0.3077		2.4556		2.6243		0.0224		0.3077		4.05
10		0.0190		0.3056		2.4588		2.6140		0.0190		0.3056		4.05
11		0.0175		0.3028		2.4603		2.6090		0.0175		0.3028		4.05
12		0.0119		0.3043		2.4614		2.6154		0.0119		0.3043		4.05
13		0.0094		0.3027		2.4618		2.6185		0.0094		0.3027		4.05
14		0.0085		0.3031		2.4653		2.6204		0.0085		0.3031		4.05
15		0.0078		0.3025		2.4645		2.6148		0.0078		0.3025		4.05
