epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		6.6734		nan		1.1605		nan		6.6734		4.24
1		0.1407		0.2501		2.4340		2.4786		0.1407		0.2501		4.24
2		0.0907		0.2553		2.4357		2.4748		0.0907		0.2553		4.24
3		0.0700		0.2472		2.4408		2.4851		0.0700		0.2472		4.24
4		0.0573		0.2487		2.4451		2.4931		0.0573		0.2487		4.24
5		0.0525		0.2495		2.4489		2.4979		0.0525		0.2495		4.24
6		0.0444		0.2439		2.4507		2.5050		0.0444		0.2439		4.24
7		0.0405		0.2347		2.4544		2.4991		0.0405		0.2347		4.24
8		0.0362		0.2418		2.4549		2.5002		0.0362		0.2418		4.24
9		0.0332		0.2476		2.4584		2.5101		0.0332		0.2476		4.24
10		0.0322		0.2331		2.4593		2.5095		0.0322		0.2331		4.24
11		0.0280		0.2352		2.4581		2.5055		0.0280		0.2352		4.24
12		0.0239		0.2398		2.4593		2.4974		0.0239		0.2398		4.24
13		0.0251		0.2328		2.4616		2.5428		0.0251		0.2328		4.24
14		0.0213		0.2409		2.4602		2.5170		0.0213		0.2409		4.24
15		0.0218		0.2406		2.4634		2.5217		0.0218		0.2406		4.24
