epoch	train loss	valid loss	train gly loss	valid gly loss	train regr loss	valid regr loss	time (s)
0	nan		7.2235		nan		60.4573		nan		7.2235		17.74
1		0.1172		0.1794		4.3291		4.0196		0.1172		0.1794		252.03
2		0.0692		0.1745		4.4856		4.2508		0.0692		0.1745		251.44
3		0.0509		0.1715		4.5475		4.5027		0.0509		0.1715		249.53
4		0.0453		0.1726		4.5593		4.1978		0.0453		0.1726		252.35
5		0.0381		0.1757		4.5751		4.1736		0.0381		0.1757		250.04
6		0.0329		0.1748		4.5452		4.0030		0.0329		0.1748		252.27
7		0.0273		0.1692		4.5511		4.0874		0.0273		0.1692		250.80
8		0.0255		0.1844		4.5636		3.8759		0.0255		0.1844		250.23
9		0.0233		0.1689		4.5274		4.3203		0.0233		0.1689		248.99
10		0.0209		0.1728		4.5435		3.8579		0.0209		0.1728		252.14
11		0.0193		0.1709		4.5220		3.7355		0.0193		0.1709		252.46
12		0.0172		0.1718		4.5345		4.1802		0.0172		0.1718		252.47
13		0.0168		0.1700		4.5129		4.0219		0.0168		0.1700		253.17
14		0.0074		0.1671		4.5557		4.1802		0.0074		0.1671		254.99
15		0.0063		0.1700		4.5864		4.2727		0.0063		0.1700		262.25
