epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		7.9269		nan		1.0593		nan		7.9269		0.44
1		1.1431		0.7965		2.3315		2.4692		1.1431		0.7965		0.44
2		0.4993		0.7033		2.4652		2.3222		0.4993		0.7033		0.44
3		0.3488		0.6857		2.3533		2.3347		0.3488		0.6857		0.44
4		0.2649		0.6819		2.3367		2.2678		0.2649		0.6819		0.44
5		0.1896		0.6796		2.3211		2.2808		0.1896		0.6796		0.44
6		0.1632		0.6673		2.3366		2.2818		0.1632		0.6673		0.44
7		0.1300		0.6539		2.3449		2.2608		0.1300		0.6539		0.44
8		0.1359		0.6484		2.3619		2.3029		0.1359		0.6484		0.44
9		0.0996		0.6455		2.3433		2.2896		0.0996		0.6455		0.44
10		0.0786		0.6659		2.3522		2.3104		0.0786		0.6659		0.44
11		0.0890		0.6461		2.3560		2.2810		0.0890		0.6461		0.44
12		0.0718		0.6492		2.3560		2.2918		0.0718		0.6492		0.44
13		0.0659		0.6530		2.3600		2.3075		0.0659		0.6530		0.44
14		0.0445		0.6524		2.3823		2.2940		0.0445		0.6524		0.44
15		0.0300		0.6531		2.3958		2.3049		0.0300		0.6531		0.44
