epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		7.1432		nan		1.0914		nan		7.1432		0.34
1		1.1304		0.6432		2.2071		2.3839		1.1304		0.6432		0.34
2		0.4832		0.5806		2.3984		2.3792		0.4832		0.5806		0.34
3		0.3312		0.5993		2.2728		2.2475		0.3312		0.5993		0.34
4		0.2437		0.5841		2.2615		2.2460		0.2437		0.5841		0.34
5		0.1763		0.6111		2.2667		2.2559		0.1763		0.6111		0.34
6		0.1337		0.6025		2.2721		2.2305		0.1337		0.6025		0.34
7		0.0971		0.6030		2.2783		2.2195		0.0971		0.6030		0.34
8		0.0746		0.6025		2.2873		2.2118		0.0746		0.6025		0.34
9		0.0575		0.6046		2.2781		2.2185		0.0575		0.6046		0.34
10		0.0507		0.5983		2.2778		2.2074		0.0507		0.5983		0.34
11		0.0414		0.6074		2.2865		2.2095		0.0414		0.6074		0.34
12		0.0382		0.6065		2.2928		2.2029		0.0382		0.6065		0.34
13		0.0351		0.6107		2.2618		2.2027		0.0351		0.6107		0.34
14		0.0342		0.6088		2.2576		2.2050		0.0342		0.6088		0.34
15		0.0326		0.6115		2.2782		2.2102		0.0326		0.6115		0.34
