epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		7.9009		nan		1.2941		nan		7.9009		0.25
1		1.0070		0.7224		2.0278		2.1295		1.0070		0.7224		0.25
2		0.4086		0.6486		2.3540		2.2782		0.4086		0.6486		0.25
3		0.2706		0.6379		2.2980		2.2359		0.2706		0.6379		0.25
4		0.1852		0.6323		2.2641		2.1613		0.1852		0.6323		0.25
5		0.1207		0.6246		2.2553		2.1708		0.1207		0.6246		0.25
6		0.0816		0.6181		2.2563		2.1683		0.0816		0.6181		0.25
7		0.0618		0.6221		2.2629		2.1957		0.0618		0.6221		0.25
8		0.0574		0.6252		2.2852		2.1641		0.0574		0.6252		0.25
9		0.0451		0.6168		2.2410		2.1798		0.0451		0.6168		0.25
10		0.0432		0.6226		2.2731		2.1459		0.0432		0.6226		0.25
11		0.0432		0.6244		2.2566		2.2194		0.0432		0.6244		0.25
12		0.0439		0.6225		2.2648		2.1462		0.0439		0.6225		0.25
13		0.0433		0.6221		2.2786		2.1802		0.0433		0.6221		0.25
14		0.0314		0.6231		2.2788		2.1850		0.0314		0.6231		0.25
15		0.0255		0.6170		2.2688		2.1746		0.0255		0.6170		0.25
