epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		8.1334		nan		1.0886		nan		8.1334		0.31
1		1.4107		0.7898		2.2365		2.1443		1.4107		0.7898		0.31
2		0.5110		0.7521		2.4678		2.2691		0.5110		0.7521		0.31
3		0.4129		0.6970		2.3392		2.1642		0.4129		0.6970		0.31
4		0.3088		0.6530		2.3052		2.0871		0.3088		0.6530		0.31
5		0.2441		0.6435		2.3131		2.0730		0.2441		0.6435		0.31
6		0.1737		0.5900		2.3051		2.0691		0.1737		0.5900		0.31
7		0.1353		0.5553		2.3390		1.9956		0.1353		0.5553		0.31
8		0.1060		0.6088		2.3045		2.0676		0.1060		0.6088		0.31
9		0.0721		0.5794		2.3395		2.0463		0.0721		0.5794		0.31
10		0.0666		0.6277		2.3409		2.1555		0.0666		0.6277		0.31
11		0.0970		0.6125		2.3996		2.1481		0.0970		0.6125		0.31
12		0.0685		0.5406		2.3604		2.1573		0.0685		0.5406		0.31
13		0.0461		0.5609		2.3634		2.1401		0.0461		0.5609		0.31
14		0.0361		0.5903		2.3653		2.1726		0.0361		0.5903		0.31
15		0.0344		0.5751		2.3670		2.1564		0.0344		0.5751		0.31
