epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		0.5518		nan		3.0244		nan		0.5518		4.87
1		0.4627		0.5095		2.8122		2.9666		0.4627		0.5095		4.87
2		0.2501		0.4942		2.5684		2.9908		0.2501		0.4942		4.87
3		0.1908		0.4729		2.5165		2.9442		0.1908		0.4729		4.87
4		0.1631		0.4825		2.4983		2.9650		0.1631		0.4825		4.87
5		0.1475		0.4775		2.4959		2.9315		0.1475		0.4775		4.87
6		0.1334		0.4738		2.4878		2.9586		0.1334		0.4738		4.87
7		0.1263		0.4769		2.4849		2.9597		0.1263		0.4769		4.87
8		0.0722		0.4598		2.4509		2.9277		0.0722		0.4598		4.87
9		0.0593		0.4741		2.4527		2.9596		0.0593		0.4741		4.87
10		0.0588		0.4687		2.4573		2.9374		0.0588		0.4687		4.87
11		0.0595		0.4687		2.4606		2.9634		0.0595		0.4687		4.87
12		0.0550		0.4722		2.4603		2.9733		0.0550		0.4722		4.87
13		0.0312		0.4638		2.4517		2.9588		0.0312		0.4638		4.87
14		0.0213		0.4654		2.4584		2.9614		0.0213		0.4654		4.87
15		0.0194		0.4620		2.4625		2.9538		0.0194		0.4620		4.87
16		0.0191		0.4636		2.4642		2.9627		0.0191		0.4636		4.87
17		0.0116		0.4651		2.4633		2.9611		0.0116		0.4651		4.87
18		0.0077		0.4658		2.4678		2.9580		0.0077		0.4658		4.87
19		0.0067		0.4616		2.4691		2.9552		0.0067		0.4616		4.87
20		0.0064		0.4683		2.4708		2.9597		0.0064		0.4683		4.87
21		0.0040		0.4695		2.4705		2.9660		0.0040		0.4695		4.87
22		0.0028		0.4667		2.4733		2.9632		0.0028		0.4667		4.87
23		0.0025		0.4672		2.4723		2.9627		0.0025		0.4672		4.87
24		0.0023		0.4688		2.4739		2.9631		0.0023		0.4688		4.87
25		0.0015		0.4677		2.4732		2.9624		0.0015		0.4677		4.87
