epoch	train loss	valid loss	train gly loss	valid gly loss	train regr loss	valid regr loss	time (s)
0	nan		0.4941		nan		0.0231		nan		0.4941		18.43
1		0.3582		0.4286		7381.3104		7339.0881		0.3582		0.4286		271.28
2		0.2086		0.4140		7352.9836		7319.4826		0.2086		0.4140		273.18
3		0.1626		0.3951		7329.5640		7334.0147		0.1626		0.3951		278.12
4		0.1425		0.3835		7317.2882		7310.8910		0.1425		0.3835		281.32
5		0.1258		0.3735		7308.9568		7272.4638		0.1258		0.3735		287.78
6		0.1060		0.3700		7302.3267		7294.9593		0.1060		0.3700		274.73
7		0.0915		0.3497		7297.1958		7296.0092		0.0915		0.3497		275.07
8		0.0786		0.3470		7294.3378		7264.7251		0.0786		0.3470		275.49
9		0.0672		0.3658		7290.5121		7289.6990		0.0672		0.3658		279.95
10		0.0622		0.3606		7289.0222		7316.1715		0.0622		0.3606		277.59
11		0.0515		0.3524		7286.8056		7279.5058		0.0515		0.3524		279.94
12		0.0477		0.3526		7286.0900		7309.2253		0.0477		0.3526		280.22
13		0.0215		0.3483		7286.4815		7277.6012		0.0215		0.3483		292.31
14		0.0169		0.3464		7286.2243		7269.5656		0.0169		0.3464		295.79
15		0.0156		0.3494		7285.6776		7279.0872		0.0156		0.3494		291.95
16		0.0145		0.3454		7285.0433		7277.6565		0.0145		0.3454		279.12
17		0.0134		0.3445		7285.6371		7291.4959		0.0134		0.3445		298.80
18		0.0125		0.3476		7284.3545		7277.9846		0.0125		0.3476		299.19
19		0.0116		0.3513		7283.7415		7272.5988		0.0116		0.3513		282.12
20		0.0110		0.3490		7283.9969		7267.7268		0.0110		0.3490		267.46
21		0.0105		0.3514		7283.2846		7278.1988		0.0105		0.3514		266.79
22		0.0046		0.3482		7283.1826		7273.1992		0.0046		0.3482		265.97
23		0.0030		0.3499		7283.2230		7273.0886		0.0030		0.3499		264.80
24		0.0030		0.3474		7283.5133		7281.2393		0.0030		0.3474		266.07
25		0.0030		0.3499		7283.5514		7274.3216		0.0030		0.3499		258.60
