epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		0.5452		nan		3.0575		nan		0.5452		2.33
1		0.6009		0.4381		3.0005		2.8654		0.6009		0.4381		2.33
2		0.4491		0.4259		2.8622		2.8550		0.4491		0.4259		2.33
3		0.3958		0.4205		2.7964		2.8587		0.3958		0.4205		2.33
4		0.3412		0.4238		2.7261		2.8640		0.3412		0.4238		2.33
5		0.2932		0.4449		2.6711		2.8538		0.2932		0.4449		2.33
6		0.2581		0.4363		2.6291		2.8697		0.2581		0.4363		2.33
7		0.2354		0.4584		2.6053		2.9052		0.2354		0.4584		2.33
8		0.2041		0.4489		2.5720		2.8955		0.2041		0.4489		2.33
9		0.1940		0.4733		2.5646		2.9463		0.1940		0.4733		2.33
10		0.1872		0.4824		2.5567		2.9376		0.1872		0.4824		2.33
11		0.1821		0.4735		2.5522		2.9489		0.1821		0.4735		2.33
12		0.1667		0.4711		2.5402		2.9335		0.1667		0.4711		2.33
13		0.1640		0.4761		2.5365		2.9471		0.1640		0.4761		2.33
14		0.1610		0.4672		2.5351		2.9211		0.1610		0.4672		2.33
15		0.1585		0.4830		2.5316		2.9514		0.1585		0.4830		2.33
16		0.1514		0.4828		2.5276		2.9507		0.1514		0.4828		2.33
17		0.1495		0.4801		2.5254		2.9404		0.1495		0.4801		2.33
18		0.1484		0.4863		2.5233		2.9440		0.1484		0.4863		2.33
19		0.1468		0.4862		2.5211		2.9564		0.1468		0.4862		2.33
20		0.1434		0.4854		2.5220		2.9466		0.1434		0.4854		2.33
21		0.1429		0.4880		2.5198		2.9570		0.1429		0.4880		2.33
22		0.1415		0.4899		2.5197		2.9561		0.1415		0.4899		2.33
23		0.1411		0.4894		2.5200		2.9561		0.1411		0.4894		2.33
24		0.1392		0.4897		2.5176		2.9514		0.1392		0.4897		2.33
25		0.1382		0.4871		2.5180		2.9446		0.1382		0.4871		2.33
