epoch	train loss	valid loss	train gly loss	valid gly loss	train regr loss	valid regr loss	time (s)
0	nan		0.5013		nan		0.0075		nan		0.5013		8.93
1		0.4752		0.3471		13908.3580		13899.9574		0.4752		0.3471		85.93
2		0.3579		0.3263		13921.8832		13940.1162		0.3579		0.3263		86.71
3		0.2803		0.3112		13926.7696		13968.9522		0.2803		0.3112		85.01
4		0.2313		0.3066		13928.7189		13887.1041		0.2313		0.3066		85.05
5		0.2045		0.3125		13927.3644		13921.9331		0.2045		0.3125		83.13
6		0.1867		0.3121		13928.2360		13957.5467		0.1867		0.3121		83.51
7		0.1747		0.3070		13931.9252		13953.5275		0.1747		0.3070		83.71
8		0.1653		0.2988		13931.8308		13899.6159		0.1653		0.2988		83.71
9		0.1580		0.3116		13930.7319		13927.0604		0.1580		0.3116		85.90
10		0.1518		0.3170		13931.5954		13879.6276		0.1518		0.3170		86.93
11		0.1472		0.3006		13933.5566		13940.6012		0.1472		0.3006		85.77
12		0.1428		0.3086		13933.8338		13925.5387		0.1428		0.3086		83.65
13		0.1257		0.3062		13932.4834		13946.2893		0.1257		0.3062		82.75
14		0.1235		0.3160		13932.8691		13951.7537		0.1235		0.3160		84.10
15		0.1211		0.3154		13932.6853		13928.4698		0.1211		0.3154		84.38
16		0.1196		0.3170		13934.4107		13930.9181		0.1196		0.3170		85.82
17		0.1110		0.3181		13932.7606		13916.8896		0.1110		0.3181		85.84
18		0.1096		0.3221		13934.1825		13929.3304		0.1096		0.3221		85.61
19		0.1087		0.3148		13933.4975		13942.8198		0.1087		0.3148		84.54
20		0.1078		0.3210		13933.1378		13918.0317		0.1078		0.3210		84.13
21		0.1037		0.3210		13934.8918		13934.1209		0.1037		0.3210		85.85
22		0.1031		0.3204		13933.4462		13924.1277		0.1031		0.3204		85.82
23		0.1028		0.3200		13934.1611		13945.4146		0.1028		0.3200		85.55
24		0.1026		0.3217		13933.2109		13935.9691		0.1026		0.3217		84.41
25		0.1004		0.3207		13933.7978		13930.9635		0.1004		0.3207		84.28
