epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		3.2681		nan		2.0945		nan		3.2681		5.13
1		0.1860		0.3231		2.5163		2.6100		0.1860		0.3231		5.13
2		0.1150		0.3466		2.4697		2.6271		0.1150		0.3466		5.13
3		0.0911		0.3131		2.4589		2.6555		0.0911		0.3131		5.13
4		0.0671		0.3272		2.4525		2.6494		0.0671		0.3272		5.13
5		0.0587		0.3167		2.4532		2.6562		0.0587		0.3167		5.13
6		0.0575		0.3695		2.4598		2.6448		0.0575		0.3695		5.13
7		0.0529		0.3251		2.4569		2.6966		0.0529		0.3251		5.13
8		0.0308		0.3236		2.4517		2.6860		0.0308		0.3236		5.13
9		0.0241		0.3331		2.4548		2.6923		0.0241		0.3331		5.13
10		0.0206		0.3286		2.4588		2.6831		0.0206		0.3286		5.13
11		0.0198		0.3249		2.4619		2.6899		0.0198		0.3249		5.13
12		0.0132		0.3318		2.4595		2.7005		0.0132		0.3318		5.13
13		0.0104		0.3362		2.4626		2.7056		0.0104		0.3362		5.13
14		0.0093		0.3368		2.4641		2.7091		0.0093		0.3368		5.13
15		0.0087		0.3350		2.4658		2.6977		0.0087		0.3350		5.13
