epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		3.9505		nan		1.6072		nan		3.9505		3.93
1		0.1559		0.2642		2.4714		2.5677		0.1559		0.2642		3.93
2		0.0951		0.2692		2.4493		2.5411		0.0951		0.2692		3.93
3		0.0706		0.2635		2.4463		2.5356		0.0706		0.2635		3.93
4		0.0615		0.2801		2.4517		2.5890		0.0615		0.2801		3.93
5		0.0532		0.2723		2.4525		2.6300		0.0532		0.2723		3.93
6		0.0447		0.2810		2.4547		2.6241		0.0447		0.2810		3.93
7		0.0432		0.2700		2.4570		2.5931		0.0432		0.2700		3.93
8		0.0251		0.2669		2.4538		2.5998		0.0251		0.2669		3.93
9		0.0203		0.2672		2.4581		2.5886		0.0203		0.2672		3.93
10		0.0165		0.2714		2.4597		2.5991		0.0165		0.2714		3.93
11		0.0155		0.2723		2.4613		2.5987		0.0155		0.2723		3.93
12		0.0098		0.2711		2.4638		2.6056		0.0098		0.2711		3.93
13		0.0078		0.2730		2.4641		2.5932		0.0078		0.2730		3.93
14		0.0075		0.2711		2.4670		2.5999		0.0075		0.2711		3.93
15		0.0066		0.2732		2.4684		2.6011		0.0066		0.2732		3.93
