epoch	train loss	valid loss	train gly loss	valid gly loss	train regr loss	valid regr loss	time (s)
0	nan		3.8472		nan		39.4345		nan		3.8472		20.20
1		0.1374		0.2101		9.0104		8.3518		0.1374		0.2101		285.20
2		0.0806		0.2032		9.2220		9.2301		0.0806		0.2032		286.19
3		0.0561		0.2001		9.4008		8.7647		0.0561		0.2001		285.21
4		0.0485		0.2053		9.5481		9.6342		0.0485		0.2053		278.11
5		0.0364		0.2030		9.6760		10.1496		0.0364		0.2030		275.69
6		0.0346		0.2011		9.7246		9.3123		0.0346		0.2011		283.88
7		0.0293		0.2028		9.7679		9.2124		0.0293		0.2028		278.07
8		0.0155		0.2019		9.8583		9.0918		0.0155		0.2019		280.81
9		0.0113		0.2003		9.9450		9.3252		0.0113		0.2003		277.33
10		0.0102		0.2008		10.0098		9.0440		0.0102		0.2008		275.53
11		0.0096		0.1998		10.0357		9.2010		0.0096		0.1998		271.23
12		0.0082		0.2022		10.0800		9.3798		0.0082		0.2022		270.03
13		0.0080		0.2014		10.0985		9.2878		0.0080		0.2014		275.04
14		0.0071		0.2013		10.1122		9.7513		0.0071		0.2013		277.28
15		0.0067		0.2019		10.1558		9.5996		0.0067		0.2019		276.82
