epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		4.0810		nan		1.9095		nan		4.0810		0.43
1		1.3537		0.8402		2.6409		2.6646		1.3537		0.8402		0.43
2		0.5599		0.7758		2.5700		2.4921		0.5599		0.7758		0.43
3		0.4118		0.7773		2.4772		2.4958		0.4118		0.7773		0.43
4		0.3071		0.7736		2.4794		2.4916		0.3071		0.7736		0.43
5		0.2372		0.7930		2.4529		2.4927		0.2372		0.7930		0.43
6		0.1869		0.7880		2.4306		2.4880		0.1869		0.7880		0.43
7		0.1650		0.7723		2.4601		2.4665		0.1650		0.7723		0.43
8		0.1522		0.7883		2.4702		2.4877		0.1522		0.7883		0.43
9		0.1207		0.7614		2.4587		2.4685		0.1207		0.7614		0.43
10		0.1088		0.7649		2.4607		2.4893		0.1088		0.7649		0.43
11		0.0835		0.7680		2.4675		2.5110		0.0835		0.7680		0.43
12		0.1254		0.7674		2.5055		2.5199		0.1254		0.7674		0.43
13		0.1893		0.7286		2.5269		2.5578		0.1893		0.7286		0.43
14		0.1117		0.7493		2.5087		2.5617		0.1117		0.7493		0.43
15		0.1047		0.7411		2.4949		2.5425		0.1047		0.7411		0.43
