epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		3.9570		nan		1.8050		nan		3.9570		0.90
1		1.9268		1.2816		2.5694		2.2084		1.9268		1.2816		0.90
2		0.6118		1.0715		2.5436		2.4874		0.6118		1.0715		0.90
3		0.4372		1.0303		2.5170		2.4039		0.4372		1.0303		0.90
4		0.3278		0.9947		2.4254		2.3578		0.3278		0.9947		0.90
5		0.2457		1.0274		2.4223		2.3193		0.2457		1.0274		0.90
6		0.1777		0.9771		2.3835		2.3086		0.1777		0.9771		0.90
7		0.1377		1.0194		2.3808		2.3338		0.1377		1.0194		0.90
8		0.1173		0.9990		2.3598		2.2841		0.1173		0.9990		0.90
9		0.0988		1.0053		2.3921		2.3303		0.0988		1.0053		0.90
10		0.0833		1.0360		2.3703		2.3201		0.0833		1.0360		0.90
11		0.0657		1.0206		2.3804		2.3053		0.0657		1.0206		0.90
12		0.0504		1.0137		2.3712		2.3152		0.0504		1.0137		0.90
13		0.0436		1.0347		2.3656		2.3136		0.0436		1.0347		0.90
14		0.0402		1.0242		2.3632		2.3152		0.0402		1.0242		0.90
15		0.0334		1.0264		2.3672		2.3115		0.0334		1.0264		0.90
