epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		4.0702		nan		1.8315		nan		4.0702		0.57
1		1.6074		0.7057		2.7240		2.6670		1.6074		0.7057		0.57
2		0.5648		0.6519		2.5575		2.6094		0.5648		0.6519		0.57
3		0.4046		0.6471		2.4733		2.6156		0.4046		0.6471		0.57
4		0.2986		0.6218		2.4485		2.5574		0.2986		0.6218		0.57
5		0.2428		0.6392		2.4524		2.5865		0.2428		0.6392		0.57
6		0.1908		0.6435		2.4595		2.5505		0.1908		0.6435		0.57
7		0.1550		0.6341		2.4637		2.5349		0.1550		0.6341		0.57
8		0.1567		0.6491		2.4647		2.5507		0.1567		0.6491		0.57
9		0.1159		0.6450		2.4640		2.5236		0.1159		0.6450		0.57
10		0.0835		0.6497		2.4698		2.5246		0.0835		0.6497		0.57
11		0.0740		0.6532		2.4640		2.5348		0.0740		0.6532		0.57
12		0.0660		0.6560		2.4593		2.5211		0.0660		0.6560		0.57
13		0.0530		0.6496		2.4715		2.5248		0.0530		0.6496		0.57
14		0.0491		0.6563		2.4815		2.5244		0.0491		0.6563		0.57
15		0.0460		0.6581		2.4611		2.5269		0.0460		0.6581		0.57
