epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		3.9534		nan		2.0552		nan		3.9534		0.62
1		1.9060		0.6114		2.6211		2.4964		1.9060		0.6114		0.62
2		0.6554		0.5666		2.6364		2.5228		0.6554		0.5666		0.62
3		0.4869		0.5485		2.4932		2.4758		0.4869		0.5485		0.62
4		0.3578		0.5558		2.4446		2.4762		0.3578		0.5558		0.62
5		0.2734		0.5622		2.4320		2.4431		0.2734		0.5622		0.62
6		0.2146		0.5566		2.4210		2.4318		0.2146		0.5566		0.62
7		0.1635		0.5655		2.4016		2.4335		0.1635		0.5655		0.62
8		0.1128		0.5625		2.4143		2.4235		0.1128		0.5625		0.62
9		0.0873		0.5642		2.3900		2.4215		0.0873		0.5642		0.62
10		0.0746		0.5674		2.4129		2.4215		0.0746		0.5674		0.62
11		0.0664		0.5751		2.4093		2.4272		0.0664		0.5751		0.62
12		0.0552		0.5710		2.4027		2.4291		0.0552		0.5710		0.62
13		0.0496		0.5735		2.4054		2.4201		0.0496		0.5735		0.62
14		0.0471		0.5739		2.3984		2.4187		0.0471		0.5739		0.62
15		0.0448		0.5780		2.4015		2.4193		0.0448		0.5780		0.62
