epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		0.5290		nan		3.0114		nan		0.5290		3.19
1		0.4500		0.5196		2.8167		2.9009		0.4500		0.5196		3.19
2		0.2745		0.4849		2.6065		2.9411		0.2745		0.4849		3.19
3		0.2134		0.4626		2.5441		2.9316		0.2134		0.4626		3.19
4		0.1841		0.4881		2.5215		2.9699		0.1841		0.4881		3.19
5		0.1651		0.4820		2.5068		2.9677		0.1651		0.4820		3.19
6		0.1516		0.4740		2.5003		2.9332		0.1516		0.4740		3.19
7		0.1419		0.4864		2.4973		2.9718		0.1419		0.4864		3.19
8		0.0834		0.4639		2.4543		2.9362		0.0834		0.4639		3.19
9		0.0700		0.4607		2.4561		2.9556		0.0700		0.4607		3.19
10		0.0691		0.4707		2.4612		2.9619		0.0691		0.4707		3.19
11		0.0700		0.4859		2.4633		2.9692		0.0700		0.4859		3.19
12		0.0634		0.4787		2.4629		2.9712		0.0634		0.4787		3.19
13		0.0593		0.4812		2.4613		2.9631		0.0593		0.4812		3.19
14		0.0343		0.4741		2.4530		2.9675		0.0343		0.4741		3.19
15		0.0247		0.4820		2.4570		2.9852		0.0247		0.4820		3.19
16		0.0221		0.4754		2.4598		2.9721		0.0221		0.4754		3.19
17		0.0218		0.4766		2.4630		2.9721		0.0218		0.4766		3.19
18		0.0131		0.4695		2.4634		2.9615		0.0131		0.4695		3.19
19		0.0092		0.4725		2.4662		2.9650		0.0092		0.4725		3.19
20		0.0081		0.4735		2.4685		2.9686		0.0081		0.4735		3.19
21		0.0076		0.4671		2.4695		2.9580		0.0076		0.4671		3.19
22		0.0048		0.4699		2.4693		2.9652		0.0048		0.4699		3.19
23		0.0036		0.4737		2.4717		2.9676		0.0036		0.4737		3.19
24		0.0032		0.4726		2.4730		2.9655		0.0032		0.4726		3.19
25		0.0029		0.4696		2.4722		2.9635		0.0029		0.4696		3.19
