epoch	train loss	valid loss	train gly loss	valid gly loss	train regr loss	valid regr loss	time (s)
0	nan		0.5056		nan		0.0387		nan		0.5056		10.07
1		0.3632		0.4390		9428.2330		9428.4374		0.3632		0.4390		153.36
2		0.2197		0.4347		9449.6605		9442.6473		0.2197		0.4347		153.74
3		0.1752		0.4299		9460.0862		9470.9362		0.1752		0.4299		153.50
4		0.1421		0.4216		9471.9106		9486.9922		0.1421		0.4216		160.05
5		0.1286		0.4199		9475.5033		9507.3686		0.1286		0.4199		159.75
6		0.1078		0.4147		9479.2697		9489.9781		0.1078		0.4147		158.13
7		0.0923		0.4262		9483.4858		9490.8576		0.0923		0.4262		155.30
8		0.0781		0.4144		9486.8358		9464.3970		0.0781		0.4144		157.06
9		0.0688		0.4158		9488.5829		9447.9552		0.0688		0.4158		158.37
10		0.0592		0.4139		9489.7691		9499.0311		0.0592		0.4139		159.30
11		0.0525		0.4094		9490.9424		9493.5138		0.0525		0.4094		156.47
12		0.0480		0.4091		9490.9859		9475.1216		0.0480		0.4091		157.71
13		0.0408		0.4134		9491.1427		9504.3908		0.0408		0.4134		157.83
14		0.0389		0.4080		9492.5000		9474.4184		0.0389		0.4080		159.34
15		0.0338		0.4127		9490.8103		9506.5932		0.0338		0.4127		157.44
16		0.0315		0.4076		9491.9837		9489.3912		0.0315		0.4076		157.46
17		0.0288		0.4124		9493.5742		9510.3435		0.0288		0.4124		156.29
18		0.0275		0.4124		9493.4935		9499.5806		0.0275		0.4124		156.81
19		0.0268		0.4099		9493.3262		9487.0625		0.0268		0.4099		157.70
20		0.0255		0.4026		9493.1130		9491.7526		0.0255		0.4026		157.52
21		0.0217		0.4030		9493.2642		9469.7154		0.0217		0.4030		158.12
22		0.0228		0.4043		9493.5164		9473.6362		0.0228		0.4043		158.08
23		0.0201		0.4117		9493.9476		9496.8338		0.0201		0.4117		157.22
24		0.0177		0.4171		9494.4637		9495.5724		0.0177		0.4171		156.16
25		0.0075		0.4062		9493.7856		9485.4989		0.0075		0.4062		159.01
