epoch	train loss	valid loss	train cls loss	valid cls loss	train regr loss	valid regr loss	time (s)
0	nan		0.5319		nan		2.9863		nan		0.5319		2.29
1		0.5948		0.4342		2.9911		2.8484		0.5948		0.4342		2.29
2		0.4530		0.4181		2.8617		2.8426		0.4530		0.4181		2.29
3		0.3899		0.4645		2.7873		2.7871		0.3899		0.4645		2.29
4		0.3307		0.4385		2.7135		2.8341		0.3307		0.4385		2.29
5		0.2837		0.4672		2.6591		2.8734		0.2837		0.4672		2.29
6		0.2541		0.4800		2.6246		2.8811		0.2541		0.4800		2.29
7		0.2165		0.4737		2.5874		2.9033		0.2165		0.4737		2.29
8		0.2070		0.4769		2.5769		2.9072		0.2070		0.4769		2.29
9		0.1973		0.4891		2.5669		2.9324		0.1973		0.4891		2.29
10		0.1900		0.4822		2.5609		2.9410		0.1900		0.4822		2.29
11		0.1749		0.4814		2.5477		2.9320		0.1749		0.4814		2.29
12		0.1723		0.4874		2.5442		2.9465		0.1723		0.4874		2.29
13		0.1690		0.4780		2.5420		2.9262		0.1690		0.4780		2.29
14		0.1653		0.4761		2.5382		2.9327		0.1653		0.4761		2.29
15		0.1573		0.4851		2.5313		2.9470		0.1573		0.4851		2.29
16		0.1567		0.4890		2.5308		2.9508		0.1567		0.4890		2.29
17		0.1544		0.4869		2.5298		2.9375		0.1544		0.4869		2.29
18		0.1532		0.4901		2.5287		2.9370		0.1532		0.4901		2.29
19		0.1491		0.4915		2.5246		2.9535		0.1491		0.4915		2.29
20		0.1483		0.4929		2.5255		2.9497		0.1483		0.4929		2.29
21		0.1484		0.4898		2.5246		2.9433		0.1484		0.4898		2.29
22		0.1474		0.4890		2.5254		2.9477		0.1474		0.4890		2.29
23		0.1459		0.4909		2.5239		2.9447		0.1459		0.4909		2.29
24		0.1448		0.4925		2.5230		2.9516		0.1448		0.4925		2.29
25		0.1447		0.4891		2.5229		2.9467		0.1447		0.4891		2.29
