epoch	train loss	valid loss	train gly loss	valid gly loss	train regr loss	valid regr loss	time (s)
0	nan		0.4864		nan		0.0195		nan		0.4864		8.09
1		0.4939		0.3738		12060.8631		12006.8990		0.4939		0.3738		80.82
2		0.3986		0.3540		12076.2132		12082.2180		0.3986		0.3540		80.80
3		0.3322		0.3638		12080.3008		12027.0799		0.3322		0.3638		81.31
4		0.2829		0.3735		12081.3116		12055.8718		0.2829		0.3735		80.83
5		0.2501		0.3728		12084.6452		12074.6605		0.2501		0.3728		81.55
6		0.2278		0.3724		12085.7727		12082.2795		0.2278		0.3724		81.35
7		0.1977		0.3834		12086.8724		12081.8121		0.1977		0.3834		83.69
8		0.1891		0.3862		12088.3397		12077.5043		0.1891		0.3862		85.88
9		0.1840		0.3922		12087.8345		12058.8964		0.1840		0.3922		87.69
10		0.1782		0.3987		12087.9566		12059.4226		0.1782		0.3987		84.68
11		0.1647		0.4006		12087.6133		12071.7297		0.1647		0.4006		85.36
12		0.1614		0.3994		12087.4621		12065.7808		0.1614		0.3994		84.99
13		0.1595		0.4041		12088.6269		12082.0310		0.1595		0.4041		84.62
14		0.1562		0.4065		12088.4533		12091.6732		0.1562		0.4065		85.02
15		0.1499		0.4107		12090.9802		12082.3273		0.1499		0.4107		83.50
16		0.1485		0.4117		12089.7631		12077.7147		0.1485		0.4117		80.09
17		0.1478		0.4133		12088.9377		12070.9684		0.1478		0.4133		75.69
18		0.1463		0.4123		12090.2157		12083.5630		0.1463		0.4123		76.98
19		0.1427		0.4132		12091.0778		12085.5535		0.1427		0.4132		76.41
20		0.1421		0.4125		12091.0352		12079.7680		0.1421		0.4125		78.07
21		0.1419		0.4158		12090.1147		12080.3756		0.1419		0.4158		76.98
22		0.1412		0.4150		12089.9857		12083.2722		0.1412		0.4150		76.10
23		0.1397		0.4165		12090.1083		12074.4693		0.1397		0.4165		75.52
24		0.1389		0.4160		12089.6254		12079.9106		0.1389		0.4160		75.57
25		0.1387		0.4173		12090.1869		12087.9305		0.1387		0.4173		75.45
